127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.000534
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.000526
127.0.0.1, 2017-04-26 20:58:33, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000542
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/default/index, HTTP/1.1, 200, 0.016611
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000566
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000475
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000470
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.002511
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001848
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000504
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000420
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000500
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000513
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000503
127.0.0.1, 2017-04-26 20:58:35, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000561
127.0.0.1, 2017-04-26 20:58:38, GET, /admin/default/site, HTTP/1.1, 200, 0.108298
127.0.0.1, 2017-04-26 20:58:40, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.058285
127.0.0.1, 2017-04-26 20:58:41, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.063589
127.0.0.1, 2017-04-26 20:58:43, GET, /admin/default/index, HTTP/1.1, 303, 0.006858
127.0.0.1, 2017-04-26 20:58:43, GET, /admin/default/site, HTTP/1.1, 200, 0.087334
127.0.0.1, 2017-04-26 20:58:56, GET, /admin/default/index, HTTP/1.1, 303, 0.006821
